year,gdp_real,gdp,curr_cost_priv,curr_cost_equip,curr_cost_struct_nonres,curr_cost_struct_res,curr_cost_ip
1925,,,223.40,31.40,94.00,96.10,1.90
1926,,,231.60,33.20,96.70,99.70,2.00
1927,,,236.90,33.90,98.50,102.30,2.10
1928,,,248.60,34.50,101.30,110.40,2.30
1929,6.850,104556.00,251.70,34.70,100.30,114.20,2.50
1930,6.267,92160.00,239.40,33.00,95.00,108.80,2.50
1931,5.866,77391.00,205.40,30.00,84.00,88.90,2.50
1932,5.109,59522.00,187.60,27.00,78.60,79.60,2.40
1933,5.046,57154.00,196.50,26.70,80.50,86.90,2.40
1934,5.591,66800.00,198.60,26.70,81.60,87.60,2.60
1935,6.089,74241.00,199.50,26.20,81.60,88.90,2.80
1936,6.873,84830.00,220.40,28.20,90.40,98.70,3.10
1937,7.226,93003.00,231.70,30.30,93.10,104.90,3.40
1938,6.986,87352.00,232.00,30.30,91.60,106.40,3.70
1939,7.547,93437.00,235.60,30.90,91.00,109.80,4.00
1940,8.212,102899.00,254.40,33.20,96.50,120.40,4.30
1941,9.667,129309.00,282.80,38.10,108.20,131.40,5.10
1942,11.493,165952.00,302.30,39.00,115.90,141.30,6.00
1943,13.449,203084.00,317.10,39.30,117.60,153.30,6.80
1944,14.519,224447.00,329.30,39.30,119.00,163.60,7.50
1945,14.377,228007.00,353.00,44.70,127.90,172.30,8.10
1946,12.708,227535.00,434.00,54.00,158.60,212.30,9.10
1947,12.563,249616.00,516.60,66.40,189.60,250.00,10.60
1948,13.080,274468.00,562.20,81.40,199.90,269.50,11.30
1949,13.006,272475.00,581.10,85.80,200.40,283.30,11.70
1950,14.136,299827.00,655.80,100.20,224.20,318.50,12.80
1951,15.273,346914.00,713.90,110.60,243.60,346.10,13.60
1952,15.897,367341.00,751.90,116.50,256.80,364.00,14.60
1953,16.643,389218.00,783.30,126.10,263.10,377.80,16.20
1954,16.546,390549.00,815.20,130.00,269.10,398.50,17.70
1955,17.727,425478.00,888.80,143.10,296.30,429.90,19.60
1956,18.105,449353.00,958.50,160.50,324.90,451.00,22.10
1957,18.486,474039.00,1008.90,175.00,343.30,466.10,24.40
1958,18.349,481229.00,1034.00,180.30,346.90,480.40,26.40
1959,19.622,521654.00,1078.10,189.00,358.40,501.60,29.00
1960,20.127,542382.00,1111.00,195.20,363.00,521.60,31.10
1961,20.643,562210.00,1147.60,198.70,374.60,540.70,33.70
1962,21.908,603921.00,1190.40,206.30,387.20,560.90,35.90
1963,22.862,637451.00,1228.70,215.00,399.50,575.40,38.90
1964,24.179,684460.00,1314.00,227.80,422.50,621.70,41.90
1965,25.750,742289.00,1402.90,245.50,450.60,661.00,45.80
1966,27.449,813414.00,1522.10,273.20,483.70,714.60,50.50
1967,28.201,859958.00,1636.60,299.70,518.70,761.90,56.30
1968,29.588,940651.00,1804.70,330.30,568.50,843.10,62.80
1969,30.512,1017615.00,1962.90,364.40,625.20,902.90,70.50
1970,30.569,1073303.00,2121.00,399.50,689.40,954.60,77.50
1971,31.576,1164850.00,2352.70,427.70,770.10,1072.30,82.50
1972,33.236,1279110.00,2594.00,461.00,841.90,1202.40,88.70
1973,35.113,1425376.00,2946.90,513.80,955.00,1379.70,98.40
1974,34.923,1545243.00,3468.30,633.70,1156.40,1566.30,111.90
1975,34.851,1684904.00,3786.40,725.40,1246.20,1693.40,121.50
1976,36.729,1873412.00,4168.90,802.60,1354.70,1878.60,132.90
1977,38.427,2081826.00,4735.70,902.80,1495.10,2192.00,145.80
1978,40.554,2351599.00,5412.90,1030.70,1689.20,2529.80,163.20
1979,41.838,2627334.00,6264.50,1196.30,1945.20,2936.20,186.80
1980,41.731,2857307.00,7118.00,1386.30,2216.60,3301.20,213.80
1981,42.790,3207042.00,7860.30,1546.80,2526.70,3541.90,244.90
1982,42.019,3343789.00,8297.00,1639.60,2694.90,3688.30,274.10
1983,43.945,3634038.00,8599.60,1691.50,2770.20,3833.80,304.10
1984,47.125,4037613.00,9112.50,1781.00,2943.80,4049.30,338.50
1985,49.090,4338979.00,9619.00,1881.30,3101.80,4263.30,372.60
1986,50.790,4579631.00,10230.60,1990.00,3232.50,4601.70,406.40
1987,52.547,4855215.00,10843.50,2082.30,3415.10,4897.30,448.70
1988,54.742,5236438.00,11560.90,2207.00,3641.80,5196.00,516.10
1989,56.752,5641580.00,12230.00,2331.10,3858.70,5472.70,567.40
1990,57.822,5963144.00,12802.80,2455.30,4055.40,5670.70,621.40
1991,57.760,6158129.00,13090.90,2514.10,4116.70,5784.40,675.60
1992,59.794,6520327.00,13643.60,2576.90,4251.00,6089.30,726.40
1993,61.440,6858559.00,14358.00,2676.20,4458.50,6449.90,773.40
1994,63.916,7287236.00,15242.30,2819.90,4696.80,6894.80,830.70
1995,65.631,7639749.00,15993.50,2994.80,4913.20,7192.30,893.20
1996,68.107,8073122.00,16812.90,3140.60,5136.20,7578.90,957.20
1997,71.136,8577552.00,17752.70,3271.60,5445.70,7992.60,1042.80
1998,74.324,9062817.00,18828.30,3421.50,5759.20,8511.80,1135.80
1999,77.857,9630663.00,20085.20,3616.30,6063.80,9140.10,1265.00
2000,81.070,10252347.00,21482.60,3844.30,6468.40,9771.10,1398.70
2001,81.880,10581822.00,22772.50,3953.70,6880.70,10476.60,1461.40
2002,83.306,10936418.00,23906.80,4000.40,7212.50,11181.30,1512.50
2003,85.689,11458246.00,25270.50,4041.50,7514.30,12119.80,1594.90
2004,88.945,12213730.00,27811.30,4268.80,8334.00,13541.40,1667.20
2005,92.070,13036637.00,30662.10,4469.40,9311.40,15103.90,1777.30
2006,94.698,13814609.00,32986.80,4778.60,10180.90,16143.70,1883.60
